address,context
Sarah McGeeh,"Wendy and I, Sarah McGeeh has a cat inside of her mouth. Four hours."
Trailing edge channel tower,Can you go up there and look for a restocked drug? Brigid Groskey. Trailing edge channel tower. Minus 954. Shredding.
3148 Valley-Meadow Drive,"Extension Engine 43, assist him with 3148 Valley-Meadow Drive."
10706 East Ham Street,"Attention Engine 59, welfare check, 10706 East Ham Street, Engine 59."
5130 Blanchard,"Mr. 53, you may discharge 5130 Blanchard for lockup."
,The person is not able to get up and answer the door.
Trailing edge channel tower,Can you go up there and look for a restocked drug
2772 West Calvary,Engine 36 is going to ...
Dallas-North-Oak-Hillary Springs,Disregard ... This has been a fun
8600 Skyline,"Seven, you can disregard ..."

