address,context,actual_address
Sarah McGeeh,"Wendy and I, Sarah McGeeh has a cat inside of her mouth. Four hours.","['Address: Sarah Zumwalt Middle School, Dallas, TX, USA (Latitude: 32.69013, Longitude: -96.78167), Confidence: 0.8', 'Address: Sarah Jenkins Plot, Randall County, TX, USA (Latitude: 34.78032, Longitude: -101.88602), Confidence: 0.8', 'Address: Sarah King Elementary School, San Antonio, TX, USA (Latitude: 29.40773, Longitude: -98.53668), Confidence: 0.8']"
Trailing edge channel tower,Can you go up there and look for a restocked drug? Brigid Groskey. Trailing edge channel tower. Minus 954. Shredding.,Could not be geocoded
3148 Valley-Meadow Drive,"Extension Engine 43, assist him with 3148 Valley-Meadow Drive.","['Address: Dallas, TX, USA (Latitude: 32.736212, Longitude: -96.784359), Confidence: 0.6']"
10706 East Ham Street,"Attention Engine 59, welfare check, 10706 East Ham Street, Engine 59.","['Address: Dallas, TX, USA (Latitude: 32.736212, Longitude: -96.784359), Confidence: 0.6']"
5130 Blanchard,"Mr. 53, you may discharge 5130 Blanchard for lockup.","['Address: 5130 Blanchard Drive, Dallas, TX, USA (Latitude: 32.789808, Longitude: -96.711071), Confidence: 1']"
,The person is not able to get up and answer the door.,
Trailing edge channel tower,Can you go up there and look for a restocked drug,Could not be geocoded
2772 West Calvary,Engine 36 is going to ...,"['Address: 2772 West Commerce Street, Dallas, TX, USA (Latitude: 32.774577, Longitude: -96.867374), Confidence: 1']"
Dallas-North-Oak-Hillary Springs,Disregard ... This has been a fun,"['Address: North, Arlington, TX, USA (Latitude: 32.788771, Longitude: -97.109967), Confidence: 1']"
8600 Skyline,"Seven, you can disregard ...","['Address: 8600 Skyline Drive, Dallas, TX, USA (Latitude: 32.906693, Longitude: -96.75565), Confidence: 1']"
